Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 186.6596,  2.946751    , 31, 359, 1282, 250, 1922
0.105, 186.4755,  2.946747    , 31, 297, 1281, 219, 1828
0.105, 186.4406,  2.946753    , 62, 360, 1281, 234, 1937
0.105, 186.4103,  2.946754    , 47, 359, 1282, 203, 1891
0.105, 186.2293,  2.946745    , 31, 219, 1281, 172, 1703
0.105, 186.1992,  2.946735    , 31, 438, 1281, 203, 1953
0.105, 186.1658,  2.946748    , 31, 406, 1282, 203, 1922
0.105, 185.9816,  2.946749    , 47, 297, 1281, 250, 1875
0.105, 185.9485,  2.946737    , 47, 360, 1281, 234, 1922
0.105, 185.9179,  2.946731    , 47, 344, 1281, 234, 1906
0.105, 185.7324,  2.946728    , 32, 437, 1281, 235, 1985
0.105, 185.7002,  2.946745    , 47, 359, 1281, 188, 1875
0.105, 185.6751,  2.946737    , 31, 47, 1281, 234, 1593
0.105, 185.4903,  2.946732    , 31, 344, -58719, 187, -58157
0.105, 185.4581,  2.946737    , 32, 422, 1281, 234, 1969
0.105, 185.4261,  2.946721    , 47, 344, 1281, 297, 1969
0.105, 185.2227,  2.946711    , 94, 250, 1281, 282, 1907
0.105, 185.1900,  2.946714    , 31, 328, 1281, 235, 1875
0.105, 185.1583,  2.946722    , 47, 359, 1281, 235, 1922
0.105, 184.9710,  2.946701    , 47, 437, 1281, 219, 1984
0.105, 184.9399,  2.946711    , 47, 375, 1281, 219, 1922
0.105, 184.9087,  2.946693    , 63, 359, 1281, 266, 1969
0.105, 184.7225,  2.946692    , 79, 265, 1281, 297, 1922
0.105, 184.6892,  2.946685    , 47, 297, 1281, 282, 1907
0.105, 184.6570,  2.946696    , 78, 281, 1281, 172, 1812
0.105, 184.4711,  2.946696    , 31, 531, 1281, 219, 2062
0.105, 184.4398,  2.946689    , 47, 375, 1281, 235, 1938
0.105, 184.4072,  2.946695    , 47, 468, 1282, 281, 2078
0.105, 184.2205,  2.946689    , 125, 359, 1281, 250, 2015
0.105, 184.1871,  2.946686    , 32, 359, 1281, 282, 1954
0.105, 184.1532,  2.946686    , 78, 281, 1281, 219, 1875
0.105, 183.9679,  2.946685    , 32, 515, 1281, 219, 2047
