v.	09.06.10
GCALCAg.lit 	information: 
29.2577	0.272908533805813
29.285	0.27290822538281
29.5225	0.272908359840949
29.557	0.272908059767741
29.7758	0.27290860510412
29.7984	0.272908627004667
30.0166	0.272908839109838
30.0485	0.272908787705099
30.7661	0.272910016856181
30.798	0.27290954980031
31.0144	0.272910108386717
31.0461	0.272910142348407
31.2628	0.272910291175463
31.2959	0.272910326629426
31.5126	0.272910309617407
31.5384	0.272910588156783
31.7792	0.272910271037975
31.8097	0.272910888130973
32.0303	0.272911216935323
32.0623	0.272911336756472
32.2777	0.272911165600169
32.3095	0.272911201851548
32.529	0.27291170370189
32.5607	0.272911740926005
32.7765	0.272912161031044
32.8008	0.272911939520266
33.0187	0.272911779573869
33.0429	0.272911975513702
33.2704	0.272912165602136
33.2962	0.272912196627579
33.5214	0.272912384679211
