v.	09.06.10
GCALCAg.lit 	information: 
37.0313	0.324869054276779
37.2725	0.324867699446694
37.5175	0.324865409032981
37.7565	0.324864294522909
38.0241	0.324862171202688
38.2723	0.324860490340216
38.5266	0.324858941948822
38.776	0.324856802354374
39.0221	0.324854893357343
39.2794	0.324853248661246
39.5188	0.324851335897706
39.7784	0.3248493511496
40.0334	0.324847124220288
40.2618	0.324845794654089
40.5198	0.324843815904297
40.7715	0.324841953038627
41.0218	0.324839615711085
41.2697	0.324837871128519
41.514	0.324836002073763
41.761	0.324833793115103
42.0101	0.324832060360493
42.2603	0.32482974911192
42.5177	0.324828160341205
42.7827	0.324826360548642
43.0236	0.324824157461209
43.2744	0.324822218242224
43.5228	0.324820394455538
43.7706	0.32481845848236
44.7716	0.324809949052288
45.0202	0.324807681385822
45.2708	0.324805425420987
45.5181	0.324803634097871
45.7616	0.32480125308494
46.0146	0.324799130356133
46.2663	0.324797013210179
46.5163	0.32479465623715
46.7707	0.324792555752924
47.0273	0.324790225892186
47.2752	0.324787999022271
47.53	0.324785908884781
47.7692	0.324783670742913
48.0218	0.32478170306101
48.267	0.324779134268025
48.5215	0.324777061700511
48.7715	0.324774867364924
49.0275	0.324772808989339
49.2794	0.324770158402621
49.5094	0.324767923136873
49.7709	0.324766250021313
50.0219	0.324763606208682
50.2698	0.324761316800697
50.5247	0.324759045931832
50.7698	0.324756523545414
51.0227	0.324754139428866
51.273	0.324751874482071
51.5333	0.324750108991739
51.7606	0.324747554272522
52.0199	0.324745442663334
52.2705	0.324743313270544
52.5146	0.324741049652277
52.7654	0.324738577625993
53.0164	0.324736460027064
53.2619	0.324733981855572
53.5118	0.324731869929174
53.772	0.324729326251773
54.0201	0.324727099584919
54.2714	0.324724538129711
54.5219	0.324722446089656
54.7667	0.324719993064056
55.0183	0.324717911967591
55.2666	0.324715712477223
55.5118	0.324713151056558
55.7857	0.324711155592782
56.0108	0.324708541765109
56.2713	0.324706632566254
56.7675	0.32470192326524
57.0167	0.324699870705014
57.2617	0.324697342319164
57.5109	0.324695297498265
57.7629	0.324692800735097
58.0126	0.324690649101736
58.2636	0.3246882744432
58.5176	0.324686145436712
59.0274	0.32468143939018
59.2716	0.324678941839432
59.5229	0.324677291314179
59.7739	0.324674236964488
60.0171	0.324672803981016
60.2691	0.324670231089311
60.5249	0.324668024802287
60.7704	0.324665673766107
61.0256	0.324663473143445
61.5172	0.324659261561233
61.7744	0.324656613565233
62.0234	0.324654644594117
62.2845	0.324652489149523
62.5112	0.324650332810644
62.7686	0.324647820963939
63.0293	0.324645790231971
63.2731	0.324644061298296
63.5279	0.324641666054411
63.7687	0.324639463554176
64.0175	0.324637407695095
64.266	0.324635003993062
64.7666	0.324630809066604
65.0197	0.324628549983923
65.259	0.32462695152891
65.5106	0.324624693501849
65.7852	0.324622646039819
66.0144	0.324620665310791
66.2826	0.324618366110599
66.532	0.324616704035786
66.776	0.32461408704434
67.0359	0.324612471807384
67.2604	0.324610259240215
67.5314	0.324608340241857
67.7773	0.32460621639948
68.0282	0.3246043456855
68.276	0.324602352874087
68.5262	0.32460013475794
68.7747	0.324598150866477
69.0203	0.324596275900782
69.2683	0.324594298010481
