Field(Oe), Temperature(K), Capacitance(pF), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
0.105, 197.9776,  2.94457     , 47, 250, 1281, 156, 1734
0.105, 197.7285,  2.94458     , 47, 391, 1281, 219, 1938
0.105, 197.4746,  2.94460     , 31, 63, 1281, 250, 1625
0.105, 197.2346,  2.94461     , 31, 125, 1282, 203, 1641
0.105, 196.9776,  2.94464     , 63, 281, 1281, 203, 1828
0.105, 196.7384,  2.94464     , 47, 125, 1281, 203, 1656
0.105, 196.4814,  2.94465     , 31, 110, 1281, 219, 1641
0.105, 196.2242,  2.94465     , 78, 360, 1281, 156, 1875
0.105, 195.9791,  2.94467     , 47, 297, 1281, 203, 1828
0.105, 195.7360,  2.94468     , 31, 219, 1281, 235, 1766
0.105, 195.4801,  2.94469     , 31, 78, 1281, 282, 1672
0.105, 195.2232,  2.94469     , 32, 297, 1281, 203, 1813
0.105, 194.9845,  2.94469     , 63, 125, 1281, 265, 1734
0.105, 194.7217,  2.94470     , 78, 344, 1281, 266, 1969
0.105, 194.4649,  2.94472     , 47, 516, 1281, 219, 2063
0.105, 194.2245,  2.94472     , 31, 438, 1281, 203, 1953
0.105, 193.9656,  2.94473     , 62, 406, 1282, 281, 2031
0.105, 193.7296,  2.94474     , 31, 94, 1281, 203, 1609
0.105, 193.4847,  2.94473     , 31, 172, 1281, 203, 1687
0.105, 193.2282,  2.94475     , 31, 391, 1281, 219, 1922
0.105, 192.9694,  2.94477     , 31, 250, 1281, 250, 1812
0.105, 192.7275,  2.94478     , 32, 203, 1281, 203, 1719
0.105, 192.4691,  2.94479     , 63, 359, 1281, 188, 1891
0.105, 192.2209,  2.94478     , 31, 532, 1281, 172, 2016
0.105, 191.9831,  2.94480     , 31, 219, 1281, 188, 1719
0.105, 191.7195,  2.94480     , 32, 515, 1282, 187, 2016
0.105, 191.4914,  2.94480     , 32, 281, 1281, 219, 1813
0.105, 191.2219,  2.94480     , 47, 235, 1281, 234, 1797
0.105, 190.9797,  2.94481     , 31, 188, 1281, 235, 1735
0.105, 190.7413,  2.94481     , 31, 125, 1281, 219, 1656
0.105, 190.4848,  2.94483     , 31, 157, 1281, 250, 1719
0.105, 190.2197,  2.94482     , 32, 531, 1281, 281, 2125
0.105, 189.9788,  2.94483     , 32, 250, 1281, 203, 1766
0.105, 189.7398,  2.94482     , 32, 156, 1281, 203, 1672
0.105, 189.4836,  2.94482     , 31, 297, 1281, 172, 1781
0.105, 189.2408,  2.94483     , 31, 187, 1282, 187, 1687
0.105, 188.9825,  2.94485     , 32, 203, 1281, 203, 1719
0.105, 188.7230,  2.94483     , 31, 516, 1281, 219, 2047
0.105, 188.4770,  2.94483     , 32, 203, 1281, 250, 1766
0.105, 188.2261,  2.94484     , 32, 312, 1281, 204, 1829
0.105, 187.9861,  2.94483     , 31, 172, 1281, 234, 1718
0.105, 187.7238,  2.94486     , 31, 204, 1281, 219, 1735
0.105, 187.4942,  2.94483     , 31, 203, 1281, 282, 1797
0.105, 187.2208,  2.94485     , 31, 547, 1281, 203, 2062
0.105, 186.9824,  2.94485     , 47, 110, 1281, 281, 1719
0.105, 186.7259,  2.94484     , 31, 203, 1281, 203, 1718
0.105, 186.4873,  2.94485     , 32, 187, 1281, 235, 1735
0.105, 186.2256,  2.94486     , 31, 516, 1281, 219, 2047
0.105, 185.9842,  2.94486     , 63, 234, 1281, 219, 1797
0.105, 185.7267,  2.94486     , 32, 281, 1281, 313, 1907
0.105, 185.4841,  2.94486     , 62, 375, 1281, 204, 1922
0.105, 185.2240,  2.94484     , 32, 359, 1281, 203, 1875
0.105, 184.9857,  2.94485     , 31, 203, 1281, 219, 1734
0.105, 184.7238,  2.94486     , 47, 406, 1282, 234, 1969
0.105, 184.4884,  2.94484     , 31, 188, 1281, 203, 1703
0.105, 184.2271,  2.94484     , 32, 328, 1281, 234, 1875
0.105, 183.9645,  2.94487     , 62, 484, 1282, 187, 2015
0.105, 183.7245,  2.94485     , 31, 297, 1281, 203, 1812
0.105, 183.4831,  2.94484     , 31, 406, 1282, 203, 1922
0.105, 183.2240,  2.94486     , 31, 312, 1282, 203, 1828
0.105, 182.9874,  2.94485     , 32, 203, 1281, 203, 1719
0.105, 182.7217,  2.94485     , 46, 485, 1281, 219, 2031
0.105, 182.4788,  2.94485     , 31, 360, 1281, 234, 1906
0.105, 182.2393,  2.94484     , 31, 328, 1281, 219, 1859
0.105, 181.9815,  2.94485     , 32, 187, 1281, 219, 1719
0.105, 181.7228,  2.94484     , 31, 282, 1281, 187, 1781
0.105, 181.4854,  2.94484     , 47, 187, 1281, 219, 1734
0.105, 181.2303,  2.94484     , 31, 110, 1281, 312, 1734
0.105, 180.9873,  2.94484     , 31, 219, 1281, 156, 1687
0.105, 180.7408,  2.94486     , 63, 296, 1282, 203, 1844
0.105, 180.4779,  2.94484     , 32, 531, 1281, 187, 2047
0.105, 180.2390,  2.94483     , 31, 156, 1281, 282, 1750
0.105, 179.9807,  2.94484     , 31, 187, 1282, 203, 1703
0.105, 179.7227,  2.94482     , 31, 234, 1281, 204, 1750
0.105, 179.4808,  2.94482     , 47, 406, 1282, 203, 1938
0.105, 179.2204,  2.94482     , 110, 359, 1281, 235, 1985
0.105, 178.9807,  2.94484     , 31, 281, 1282, 234, 1828
0.105, 178.7363,  2.94482     , 31, 297, 1281, 281, 1890
0.105, 178.4793,  2.94482     , 47, 296, 1282, 234, 1859
0.105, 178.2360,  2.94480     , 31, 422, 1281, 282, 2016
0.105, 177.9773,  2.94481     , 32, 328, 1281, 188, 1829
0.105, 177.7361,  2.94483     , 31, 437, 1282, 203, 1953
0.105, 177.4758,  2.94482     , 47, 313, 1281, 281, 1922
0.105, 177.2295,  2.94481     , 31, 454, 1281, 172, 1938
0.105, 176.9694,  2.94480     , 31, 531, 1282, 203, 2047
0.105, 176.7344,  2.94481     , 31, 62, 1282, 250, 1625
0.105, 176.4931,  2.94480     , 47, 343, 1282, 234, 1906
0.105, 176.2312,  2.94480     , 94, 375, 1328, 281, 2078
0.105, 175.9696,  2.94481     , 31, 219, 1281, 188, 1719
0.105, 175.7330,  2.94479     , 32, 156, 1281, 234, 1703
0.105, 175.4776,  2.94480     , 31, 63, 1281, 219, 1594
0.105, 175.2345,  2.94479     , 62, 485, 1281, 172, 2000
0.105, 174.9738,  2.94479     , 47, 313, 1281, 187, 1828
0.105, 174.7314,  2.94479     , 63, 469, 1281, 219, 2032
0.105, 174.4694,  2.94478     , 31, 453, 1282, 188, 1969
0.105, 174.2272,  2.94478     , 31, 281, 1281, 219, 1812
0.105, 173.9833,  2.94479     , 94, 328, 1281, 297, 2000
0.105, 173.7415,  2.94478     , 31, 297, 1282, 234, 1844
0.105, 173.4787,  2.94479     , 62, 407, 1281, 219, 1969
0.105, 173.2397,  2.94479     , 32, 109, 1281, 203, 1625
0.105, 172.9806,  2.94478     , 47, 375, 1281, 219, 1922
0.105, 172.7177,  2.94478     , 47, 406, 1281, 203, 1937
0.105, 172.4783,  2.94477     , 32, 296, 1282, 218, 1828
0.105, 172.2197,  2.94479     , 47, 313, 1281, 219, 1860
0.105, 171.9785,  2.944778    , 32, 171, 1282, 297, 1782
0.105, 171.7206,  2.944771    , 32, 328, 1281, 219, 1860
0.105, 171.4853,  2.944778    , 32, 62, 1281, 250, 1625
0.105, 171.2277,  2.944782    , 31, 125, 1281, 235, 1672
0.105, 170.9894,  2.944771    , 31, 157, 1281, 203, 1672
0.105, 170.7361,  2.944755    , 78, 109, 1281, 219, 1687
0.105, 170.4751,  2.944762    , 31, 297, 1281, 204, 1813
0.105, 170.2373,  2.944756    , 47, 187, 1282, 203, 1719
0.105, 169.9742,  2.944743    , 31, 485, 1281, 203, 2000
0.105, 169.7365,  2.944750    , 31, 297, 1281, 204, 1813
0.105, 169.4805,  2.944759    , 31, 63, 1281, 203, 1578
0.105, 169.2208,  2.944749    , 31, 219, 1281, 266, 1797
0.105, 168.9780,  2.944755    , 31, 563, 1281, 219, 2094
0.105, 168.7355,  2.944736    , 32, 203, 1281, 203, 1719
0.105, 168.4796,  2.944735    , 47, 187, 1282, 250, 1766
0.105, 168.2401,  2.944761    , 31, 156, 1281, 188, 1656
0.105, 167.9805,  2.944732    , 47, 375, 1390, 172, 1984
0.105, 167.7221,  2.944742    , 32, 297, 1281, 203, 1813
0.105, 167.4821,  2.944755    , 47, 281, 1281, 282, 1891
0.105, 167.2193,  2.944733    , 47, 453, 1282, 234, 2016
0.105, 166.9758,  2.944726    , 31, 219, 1281, 219, 1750
0.105, 166.7384,  2.944735    , 32, 297, 1281, 219, 1829
0.105, 166.4728,  2.944719    , 47, 390, 1282, 250, 1969
0.105, 166.2319,  2.94472     , 31, 219, 1281, 172, 1703
0.105, 165.9798,  2.944696    , 31, 62, 1282, 203, 1578
0.105, 165.7383,  2.944697    , 31, 266, 1281, 281, 1859
0.105, 165.4820,  2.944701    , 63, 78, 1281, 203, 1625
0.105, 165.2311,  2.944706    , 31, 94, 1281, 235, 1641
0.105, 164.9798,  2.944691    , 31, 532, 1281, 203, 2047
0.105, 164.7421,  2.944680    , 46, 297, 1282, 250, 1875
0.105, 164.4815,  2.944680    , 31, 328, 1281, 235, 1875
0.105, 164.2380,  2.944673    , 47, 500, 1282, 234, 2063
0.105, 163.9837,  2.944671    , 31, 94, 1281, 219, 1625
0.105, 163.7246,  2.944667    , 31, 203, 1282, 203, 1719
0.105, 163.4896,  2.944654    , 31, 78, 1282, 265, 1656
0.105, 163.2230,  2.944654    , 94, 328, 1281, 235, 1938
0.105, 162.9886,  2.944648    , 32, 125, 1281, 328, 1766
0.105, 162.7213,  2.944629    , 47, 359, 1282, 203, 1891
0.105, 162.4827,  2.944650    , 93, 78, 1282, 250, 1703
0.105, 162.2211,  2.944626    , 47, 250, 1297, 203, 1797
0.105, 161.9814,  2.944621    , 31, 78, 1281, 188, 1578
0.105, 161.7417,  2.944613    , 32, 312, 1281, 235, 1860
0.105, 161.4779,  2.944611    , 31, 437, 1282, 265, 2015
0.105, 161.2241,  2.944616    , 32, 187, 1281, 219, 1719
0.105, 160.9783,  2.944596    , 47, 375, 1281, 187, 1890
0.105, 160.7336,  2.944596    , 31, 531, 1281, 219, 2062
0.105, 160.4727,  2.944563    , 31, 406, 1281, 235, 1953
0.105, 160.2335,  2.944550    , 32, 156, 1281, 391, 1860
0.105, 159.9722,  2.944560    , 47, 359, 1281, 219, 1906
0.105, 159.7297,  2.944536    , 31, 407, 1281, 203, 1922
0.105, 159.4697,  2.944534    , 31, 438, 1375, 250, 2094
0.105, 159.2277,  2.944534    , 47, 250, 1281, 266, 1844
0.105, 158.9809,  2.944528    , 31, 532, 1281, 234, 2078
0.105, 158.7179,  2.944513    , 31, 360, 1281, 219, 1891
0.105, 158.4734,  2.944501    , 31, 422, 1281, 234, 1968
0.105, 158.2325,  2.944495    , 47, 312, 1282, 218, 1859
0.105, 157.9914,  2.944484    , 31, 203, 1281, 235, 1750
0.105, 157.7318,  2.944490    , 31, 297, 1281, 204, 1813
0.105, 157.4711,  2.944472    , 32, 281, 1281, 203, 1797
0.105, 157.2283,  2.944451    , 47, 656, 1282, 296, 2281
0.105, 156.9838,  2.944465    , 47, 125, 1281, 203, 1656
0.105, 156.7237,  2.944441    , 94, 219, 1281, 187, 1781
0.105, 156.4837,  2.944435    , 31, 313, 1281, 203, 1828
0.105, 156.2238,  2.944407    , 78, 203, 1282, 218, 1781
0.105, 155.9810,  2.944432    , 46, 250, 1282, 203, 1781
0.105, 155.7254,  2.944399    , 47, 188, 1281, 203, 1719
0.105, 155.4898,  2.944393    , 31, 172, 1281, 188, 1672
0.105, 155.2284,  2.944381    , 31, 375, 1282, 203, 1891
0.105, 154.9777,  2.944379    , 31, 78, 1282, 203, 1594
0.105, 154.7387,  2.944371    , 47, 125, 1281, 219, 1672
0.105, 154.4709,  2.944383    , 47, 562, 1281, 204, 2094
0.105, 154.2352,  2.944354    , 31, 172, 1281, 235, 1719
0.105, 153.9745,  2.944360    , 31, 203, 1281, 313, 1828
0.105, 153.7400,  2.944350    , 31, 94, 1281, 281, 1687
0.105, 153.4794,  2.944350    , 47, 359, 1281, 219, 1906
0.105, 153.2375,  2.944344    , 31, 281, 1281, 203, 1796
0.105, 152.9827,  2.944315    , 32, 156, 1281, 234, 1703
0.105, 152.7173,  2.944314    , 31, 547, 1282, 203, 2063
0.105, 152.4755,  2.944299    , 31, 422, 1282, 218, 1953
0.105, 152.2333,  2.944286    , 31, 532, 1375, 265, 2203
0.105, 151.9873,  2.944267    , 47, 484, 1281, 203, 2015
0.105, 151.7249,  2.944253    , 47, 360, 1281, 219, 1907
0.105, 151.4867,  2.944227    , 31, 172, 1281, 204, 1688
0.105, 151.2253,  2.944227    , 32, 531, 1281, 297, 2141
0.105, 150.9812,  2.944224    , 47, 484, 1281, 219, 2031
0.105, 150.7196,  2.944190    , 47, 422, 1281, 234, 1984
0.105, 150.4772,  2.944193    , 47, 406, 1282, 234, 1969
0.105, 150.2417,  2.944164    , 32, 187, 1281, 204, 1704
0.105, 149.9758,  2.944162    , 31, 532, 1281, 203, 2047
0.105, 149.7390,  2.944136    , 32, 343, 1282, 187, 1844
0.105, 149.4797,  2.944123    , 31, 141, 1281, 219, 1672
0.105, 149.2209,  2.944224    , 31, 359, 1266, 203, 1859
0.105, 148.9766,  2.944201    , 31, 391, 1281, 219, 1922
0.105, 148.7391,  2.944185    , 47, 110, 1265, 203, 1625
0.105, 148.4862,  2.944175    , 46, 79, 1281, 250, 1656
0.105, 148.2206,  2.944172    , 32, 484, 1281, 188, 1985
0.105, 147.9850,  2.944157    , 31, 188, 1281, 219, 1719
0.105, 147.7245,  2.944136    , 31, 328, 1281, 219, 1859
0.105, 147.4788,  2.944136    , 31, 391, 1281, 250, 1953
0.105, 147.2408,  2.944136    , 31, 172, 1265, 219, 1687
0.105, 146.9805,  2.944123    , 31, 328, 1281, 203, 1843
0.105, 146.7193,  2.944099    , 31, 406, 1281, 203, 1921
0.105, 146.4783,  2.944089    , 31, 437, 1282, 218, 1968
0.105, 146.2427,  2.944087    , 47, 78, 1281, 297, 1703
0.105, 145.9827,  2.944093    , 47, 125, 1281, 234, 1687
0.105, 145.7236,  2.944076    , 31, 250, 1250, 250, 1781
0.105, 145.4896,  2.944070    , 47, 110, 1265, 250, 1672
0.105, 145.2319,  2.944043    , 31, 172, 1235, 235, 1688
0.105, 144.9736,  2.944043    , 32, 218, 1282, 203, 1735
0.105, 144.7348,  2.944023    , 31, 313, 1265, 219, 1828
0.105, 144.4771,  2.944013    , 31, 282, 1281, 187, 1781
0.105, 144.2353,  2.944005    , 31, 203, 1282, 203, 1719
0.105, 143.9744,  2.943979    , 46, 485, 1281, 219, 2031
0.105, 143.7155,  2.943992    , 32, 406, 1265, 219, 1922
0.105, 143.4725,  2.943973    , 31, 391, 1281, 157, 1860
0.105, 143.2365,  2.944002    , 32, 172, 1281, 219, 1704
0.105, 142.9766,  2.943980    , 31, 297, 1250, 234, 1812
0.105, 142.7299,  2.943995    , 63, 250, 1265, 204, 1782
0.105, 142.4770,  2.943963    , 32, 156, 1281, 234, 1703
0.105, 142.2380,  2.943957    , 31, 344, 1265, 219, 1859
0.105, 141.9771,  2.943941    , 47, 250, 1265, 235, 1797
0.105, 141.7261,  2.943936    , 31, 187, 1266, 219, 1703
0.105, 141.4845,  2.943916    , 47, 203, 1281, 235, 1766
0.105, 141.2224,  2.943897    , 32, 547, 1281, 219, 2079
0.105, 140.9805,  2.943906    , 32, 468, 1266, 203, 1969
0.105, 140.7364,  2.943884    , 31, 297, 1281, 203, 1812
0.105, 140.4763,  2.943877    , 31, 437, 1282, 218, 1968
0.105, 140.2380,  2.943861    , 47, 328, 1282, 218, 1875
0.105, 139.9754,  2.943863    , 32, 437, 1281, 203, 1953
0.105, 139.7293,  2.943850    , 62, 485, 1281, 172, 2000
0.105, 139.4898,  2.943825    , 47, 250, 1281, 234, 1812
0.105, 139.2335,  2.943822    , 31, 94, 1281, 235, 1641
0.105, 138.9734,  2.943824    , 47, 359, 1282, 234, 1922
0.105, 138.7365,  2.943813    , 63, 250, 1281, 203, 1797
0.105, 138.4748,  2.943792    , 47, 359, 1282, 203, 1891
0.105, 138.2365,  2.943775    , 31, 297, 1281, 188, 1797
0.105, 137.9776,  2.943753    , 63, 234, 1282, 203, 1782
0.105, 137.7396,  2.943746    , 31, 109, 1281, 204, 1625
0.105, 137.4853,  2.943741    , 31, 94, 1281, 313, 1719
0.105, 137.2242,  2.943744    , 31, 219, 1281, 266, 1797
0.105, 136.9864,  2.943720    , 78, 157, 1281, 172, 1688
0.105, 136.7243,  2.943713    , 32, 281, 1281, 188, 1782
0.105, 136.4839,  2.943696    , 47, 328, 1281, 250, 1906
0.105, 136.2207,  2.943682    , 31, 516, 1281, 203, 2031
0.105, 135.9783,  2.943684    , 31, 250, 1281, 172, 1734
0.105, 135.7181,  2.943656    , 31, 438, 1281, 219, 1969
0.105, 135.4784,  2.943655    , 31, 94, 1281, 234, 1640
0.105, 135.2373,  2.943620    , 31, 313, 1281, 219, 1844
0.105, 134.9785,  2.943623    , 31, 78, 1281, 282, 1672
0.105, 134.7377,  2.943610    , 46, 282, 1281, 234, 1843
0.105, 134.4740,  2.943606    , 32, 484, 1281, 203, 2000
0.105, 134.2290,  2.943577    , 31, 438, 1281, 172, 1922
0.105, 133.9717,  2.943572    , 31, 406, 1281, 172, 1890
0.105, 133.7210,  2.943557    , 32, 328, 1281, 219, 1860
0.105, 133.4660,  2.943553    , 47, 297, 1281, 219, 1844
0.105, 133.2268,  2.943547    , 31, 63, 1281, 235, 1610
0.105, 132.9777,  2.943545    , 47, 360, 1281, 234, 1922
0.105, 132.7402,  2.943514    , 31, 484, 1281, 204, 2000
0.105, 132.4748,  2.943512    , 32, 484, 1281, 203, 2000
0.105, 132.2330,  2.943499    , 31, 203, 1281, 204, 1719
0.105, 131.9725,  2.943465    , 31, 453, 1281, 235, 2000
0.105, 131.7266,  2.943479    , 31, 204, 1281, 203, 1719
0.105, 131.4834,  2.943443    , 47, 297, 1281, 203, 1828
0.105, 131.2246,  2.943449    , 78, 312, 1282, 234, 1906
0.105, 130.9771,  2.943436    , 31, 422, 1281, 156, 1890
0.105, 130.7362,  2.943404    , 172, 125, 1281, 219, 1797
0.105, 130.4781,  2.943405    , 31, 219, 1281, 234, 1765
0.105, 130.2205,  2.943383    , 47, 188, 1281, 250, 1766
0.105, 129.9865,  2.943362    , 32, 62, 1281, 203, 1578
0.105, 129.7202,  2.943359    , 47, 531, 1281, 203, 2062
0.105, 129.4795,  2.943355    , 47, 359, 1281, 219, 1906
0.105, 129.2186,  2.943323    , 46, 313, 1281, 266, 1906
0.105, 128.9798,  2.943212    , 31, 266, 1281, 235, 1813
0.105, 128.7216,  2.943220    , 63, 250, 1281, 219, 1813
0.105, 128.4797,  2.943187    , 31, 312, 1282, 218, 1843
0.105, 128.2374,  2.943179    , 32, 406, 1281, 219, 1938
0.105, 127.9829,  2.943148    , 31, 94, 1281, 235, 1641
0.105, 127.7193,  2.943148    , 47, 422, 1281, 219, 1969
0.105, 127.4860,  2.943148    , 47, 62, 1282, 281, 1672
0.105, 127.2203,  2.943116    , 62, 485, 1281, 281, 2109
0.105, 126.9734,  2.943101    , 31, 641, 1281, 203, 2156
0.105, 126.7371,  2.943077    , 31, 188, 1281, 203, 1703
0.105, 126.4797,  2.943038    , 31, 281, 1282, 234, 1828
0.105, 126.2390,  2.943003    , 47, 125, 1281, 203, 1656
0.105, 125.9854,  2.943002    , 32, 125, 1281, 187, 1625
0.105, 125.7259,  2.942973    , 32, 218, 1282, 234, 1766
0.105, 125.4826,  2.942967    , 31, 516, 1281, 203, 2031
0.105, 125.2276,  2.942963    , 63, 250, 1281, 266, 1875
0.105, 124.9817,  2.942927    , 47, 469, 1281, 187, 1984
0.105, 124.7199,  2.942924    , 47, 422, 1281, 235, 1985
0.105, 124.4824,  2.942894    , 47, 78, 1281, 281, 1687
0.105, 124.2403,  2.942878    , 47, 313, 1281, 203, 1844
0.105, 123.9810,  2.942875    , 94, 250, 1281, 234, 1859
0.105, 123.7193,  2.942826    , 47, 359, 1282, 187, 1875
0.105, 123.4767,  2.942825    , 31, 531, 1282, 218, 2062
0.105, 123.2317,  2.942807    , 31, 531, 1282, 218, 2062
0.105, 122.9747,  2.942784    , 47, 62, 1281, 250, 1640
0.105, 122.7372,  2.942787    , 47, 125, 1281, 250, 1703
0.105, 122.4808,  2.942770    , 78, 250, 1282, 203, 1813
0.105, 122.2367,  2.942740    , 62, 375, 1281, 235, 1953
0.105, 121.9766,  2.942731    , 31, 344, 1281, 234, 1890
0.105, 121.7400,  2.942714    , 32, 171, 1282, 203, 1688
0.105, 121.4780,  2.942686    , 32, 422, 1281, 234, 1969
0.105, 121.2420,  2.942682    , 31, 78, 1281, 235, 1625
0.105, 120.9828,  2.942668    , 31, 94, 1281, 203, 1609
0.105, 120.7211,  2.942644    , 31, 516, 1281, 235, 2063
0.105, 120.4818,  2.942626    , 31, 141, 1281, 219, 1672
0.105, 120.2218,  2.942617    , 47, 359, 1281, 219, 1906
0.105, 119.9753,  2.942580    , 47, 562, 1281, 188, 2078
0.105, 119.7376,  2.942574    , 32, 78, 1281, 234, 1625
0.105, 119.4760,  2.942558    , 31, 406, 1282, 218, 1937
0.105, 119.2155,  2.942531    , 31, 359, 1281, 282, 1953
0.105, 118.9753,  2.942533    , 31, 203, 1281, 235, 1750
0.105, 118.7381,  2.942512    , 31, 312, 1282, 203, 1828
0.105, 118.4803,  2.942491    , 32, 140, 1266, 234, 1672
0.105, 118.2409,  2.942479    , 31, 266, 1281, 234, 1812
0.105, 117.9800,  2.942453    , 31, 516, 1281, 203, 2031
0.105, 117.7381,  2.942461    , 32, 265, 1281, 204, 1782
0.105, 117.4764,  2.942440    , 47, 485, 1281, 234, 2047
0.105, 117.2403,  2.942405    , 32, 93, 1282, 203, 1610
0.105, 116.9783,  2.942373    , 94, 453, 1281, 234, 2062
0.105, 116.7180,  2.942373    , 47, 312, 1281, 219, 1859
0.105, 116.4770,  2.942348    , 46, 250, 1282, 203, 1796
0.105, 116.2413,  2.942330    , 32, 218, 1282, 234, 1766
0.105, 115.9837,  2.942309    , 31, 156, 1281, 282, 1750
0.105, 115.7187,  2.942297    , 31, 438, 1281, 250, 2000
0.105, 115.4807,  2.942275    , 47, 250, 1281, 203, 1781
0.105, 115.2207,  2.942260    , 32, 406, 1281, 203, 1922
0.105, 114.9786,  2.942236    , 31, 281, 1282, 218, 1812
0.105, 114.7189,  2.942221    , 31, 329, 1281, 250, 1891
0.105, 114.4751,  2.942206    , 31, 532, 1281, 219, 2063
0.105, 114.2333,  2.942172    , 31, 203, 1281, 235, 1750
0.105, 113.9741,  2.942160    , 31, 313, 1281, 281, 1906
0.105, 113.7324,  2.942153    , 47, 359, 1281, 266, 1953
0.105, 113.4726,  2.942123    , 31, 297, 1281, 250, 1859
0.105, 113.2319,  2.942113    , 31, 282, 1281, 187, 1781
0.105, 112.9752,  2.942095    , 78, 250, 1281, 328, 1937
0.105, 112.7299,  2.942068    , 47, 438, 1281, 203, 1969
0.105, 112.4887,  2.942069    , 47, 297, 1281, 203, 1828
0.105, 112.2321,  2.942041    , 47, 266, 1281, 265, 1859
0.105, 111.9823,  2.942038    , 31, 63, 1281, 234, 1609
0.105, 111.7414,  2.942016    , 31, 297, 1281, 204, 1813
0.105, 111.4922,  2.941993    , 31, 281, 1282, 234, 1828
0.105, 111.2350,  2.941980    , 31, 187, 1282, 218, 1718
0.105, 110.9784,  2.941955    , 31, 188, 1281, 250, 1750
0.105, 110.7397,  2.941945    , 31, 78, 1281, 235, 1625
0.105, 110.4786,  2.941906    , 62, 532, 1281, 234, 2109
0.105, 110.2190,  2.941889    , 47, 297, 1281, 282, 1907
0.105, 109.9778,  2.941863    , 32, 328, 1281, 234, 1875
0.105, 109.7329,  2.941844    , 47, 422, 1281, 282, 2032
0.105, 109.4898,  2.941832    , 47, 312, 1281, 204, 1844
0.105, 109.2351,  2.941820    , 46, 172, 1282, 203, 1703
0.105, 108.9775,  2.941793    , 32, 171, 1282, 203, 1688
0.105, 108.7327,  2.941778    , 47, 484, 1282, 281, 2094
0.105, 108.4757,  2.941759    , 32, 250, 1281, 234, 1797
0.105, 108.2373,  2.941723    , 32, 312, 1281, 266, 1891
0.105, 107.9749,  2.941708    , 46, 282, 1281, 281, 1890
0.105, 107.7342,  2.941682    , 31, 313, 1281, 203, 1828
0.105, 107.4721,  2.941669    , 47, 188, 1281, 234, 1750
0.105, 107.2336,  2.941641    , 78, 219, 1281, 203, 1781
0.105, 106.9756,  2.941637    , 31, 203, 1281, 250, 1765
0.105, 106.7433,  2.941611    , 31, 78, 1281, 266, 1656
0.105, 106.4752,  2.941568    , 62, 485, 1281, 281, 2109
0.105, 106.2332,  2.941555    , 63, 484, 1281, 219, 2047
0.105, 105.9914,  2.941543    , 32, 312, 1281, 313, 1938
0.105, 105.7336,  2.941510    , 93, 204, 1281, 219, 1797
0.105, 105.4919,  2.941507    , 31, 329, 1281, 203, 1844
0.105, 105.2258,  2.941487    , 47, 171, 1282, 187, 1687
0.105, 104.9704,  2.941458    , 46, 204, 1281, 234, 1765
0.105, 104.7323,  2.941444    , 31, 78, 1281, 281, 1671
0.105, 104.4697,  2.941435    , 31, 484, 1282, 234, 2031
0.105, 104.2239,  2.941382    , 46, 360, 1281, 219, 1906
0.105, 103.9866,  2.941344    , 31, 234, 1281, 235, 1781
0.105, 103.7236,  2.941331    , 31, 391, 1281, 312, 2015
0.105, 103.4844,  2.941308    , 31, 313, 1281, 219, 1844
0.105, 103.2423,  2.941282    , 47, 250, 1281, 234, 1812
0.105, 102.9815,  2.941268    , 63, 281, 1281, 281, 1906
0.105, 102.7249,  2.941263    , 31, 141, 1281, 250, 1703
0.105, 102.4807,  2.941238    , 94, 406, 1281, 203, 1984
0.105, 102.2428,  2.94123     , 47, 250, 1281, 234, 1812
0.105, 101.9783,  2.941209    , 62, 328, 1282, 234, 1906
0.105, 101.7226,  2.941168    , 32, 296, 1282, 203, 1813
0.105, 101.4794,  2.941170    , 47, 390, 1282, 187, 1906
0.105, 101.2215,  2.941106    , 31, 219, 1281, 219, 1750
0.105, 100.9800,  2.941106    , 31, 406, 1281, 204, 1922
0.105, 100.7357,  2.941070    , 32, 625, 1281, 234, 2172
0.105, 100.4791,  2.941060    , 31, 78, 1282, 203, 1594
0.105, 100.2214,  2.941047    , 32, 234, 1281, 219, 1766
0.105, 99.9814,  2.941027    , 47, 296, 1282, 234, 1859
0.105, 99.7271,  2.941000    , 31, 188, 1281, 219, 1719
0.105, 99.4811,  2.940987    , 78, 235, 1281, 266, 1860
0.105, 99.2417,  2.940945    , 31, 172, 1281, 281, 1765
0.105, 98.9804,  2.940935    , 31, 94, 1281, 281, 1687
0.105, 98.7392,  2.940912    , 31, 407, 1281, 265, 1984
0.105, 98.4964,  2.940913    , 32, 172, 1281, 234, 1719
0.105, 98.2409,  2.940890    , 47, 125, 1281, 234, 1687
0.105, 97.9919,  2.940861    , 47, 125, 1282, 218, 1672
0.105, 97.7323,  2.940848    , 78, 172, 1281, 203, 1734
0.105, 97.4785,  2.940820    , 62, 250, 1282, 218, 1812
0.105, 97.2377,  2.940810    , 31, 328, 1282, 218, 1859
0.105, 96.9790,  2.940794    , 31, 141, 1281, 281, 1734
0.105, 96.7366,  2.940762    , 31, 281, 1282, 218, 1812
0.105, 96.4686,  2.940737    , 47, 312, 1281, 297, 1937
0.105, 96.2330,  2.940722    , 47, 296, 1282, 203, 1828
0.105, 95.9918,  2.940691    , 31, 203, 1281, 203, 1718
0.105, 95.7319,  2.940665    , 32, 156, 1281, 219, 1688
