Field(Oe), Temperature(K), Resisitivity(Ohm), Capacitance(pF), Loss(nS), 1stHoldoff, GETDAT, CapMeas, 2ndHoldoff, Overall
41246.762, 269.9999, 59.3643036,  4.21217     ,  0.00106     , 31, 62, 1282, 234, 1609
41719.309, 269.9995, 59.3675499,  4.21207     ,  0.00110     , 31, 391, 1281, 250, 1953
42265.039, 270.0014, 59.3666458,  4.21192     ,  0.00106     , 46, 391, 1281, 328, 2046
42651.098, 269.9998, 59.3684578,  4.21186     ,  0.00100     , 31, 78, 1281, 234, 1640
43123.078, 270.0012, 59.3653984,  4.21177     ,  0.00110     , 31, 156, 1281, 235, 1703
43619.578, 269.9986, 59.3663063,  4.21166     ,  0.00103     , 31, 78, 1281, 188, 1578
44092.695, 270.0020, 59.3682289,  4.21153     ,  0.00111     , 62, 94, 1281, 328, 1765
44608.773, 269.9987, 59.3644943,  4.21143     ,  0.00115     , 47, 312, 1281, 297, 1937
45103.750, 270.0019, 59.3648338,  4.21131     ,  0.00111     , 31, 375, 1282, 296, 1984
45648.340, 270.0001, 59.3655128,  4.21123     ,  0.00113     , 31, 313, 1281, 250, 1875
46035.160, 270.0015, 59.3664169,  4.21114     ,  0.00100     , 109, 422, 1281, 297, 2109
46550.855, 269.9995, 59.3659630,  4.21101     ,  0.00103     , 94, 359, 1282, 312, 2047
47088.984, 269.9988, 59.3657379,  4.21092     ,  0.00096     , 31, 313, 1281, 234, 1859
47453.945, 270.0003, 59.3655128,  4.21084     ,  0.00102     , 110, 78, 1328, 281, 1797
47947.023, 269.9974, 59.3663063,  4.21075     ,  0.00115     , 78, 79, 1281, 297, 1735
48463.484, 269.9994, 59.3651733,  4.21066     ,  0.00098     , 47, 359, 1281, 328, 2015
48987.730, 270.0017, 59.3601112,  4.21054     ,  0.00092     , 47, 359, 1281, 203, 1906
49366.000, 270.0012, 59.3621521,  4.21047     ,  0.00110     , 62, 125, 1281, 266, 1734
49837.594, 270.0023, 59.3622627,  4.21036     ,  0.00103     , 31, 422, 1282, 234, 1969
50383.703, 270.0027, 59.3613586,  4.21024     ,  0.00081     , 47, 125, 1281, 250, 1703
50878.113, 270.0000, 59.3623772,  4.21017     ,  0.00090     , 46, 313, 1281, 391, 2031
51261.699, 270.0018, 59.3614731,  4.21007     ,  0.00094     , 32, 390, 1282, 234, 1938
51778.727, 270.0003, 59.3612442,  4.20999     ,  0.00082     , 31, 78, 1328, 281, 1718
52272.184, 270.0006, 59.3613586,  4.20988     ,  0.00084     , 31, 313, 1281, 219, 1844
52798.148, 269.9997, 59.3603401,  4.20978     ,  0.00086     , 31, 406, 1281, 235, 1953
53174.133, 270.0017, 59.3600006,  4.20971     ,  0.00102     , 47, 62, 1281, 282, 1672
53667.398, 270.0022, 59.3605652,  4.20963     ,  0.00098     , 31, 422, -58719, 344, -57922
54190.129, 269.9997, 59.3593216,  4.20951     ,  0.00098     , 63, 250, 1281, 297, 1891
54705.066, 269.9987, 59.3609047,  4.20942     ,  0.00090     , 32, 390, 1438, 297, 2157
55112.602, 270.0098, 59.3594322,  4.20937     ,  0.00085     , 32, 187, 1281, 282, 1782
55606.063, 270.0061, 59.3607941,  4.20926     ,  0.00101     , 31, 407, 1281, 328, 2047
56122.328, 270.0010, 59.3592262,  4.20918     ,  0.00096     , 47, 390, 1281, 235, 1953
56645.246, 269.9988, 59.3571892,  4.20908     ,  0.00103     , 63, 94, 1281, 297, 1735
57138.324, 269.9985, 59.3588867,  4.20900     ,  0.00100     , 47, 390, 1282, 234, 1953
57524.195, 269.9965, 59.3580933,  4.20893     ,  0.00088     , 31, 312, 1282, 312, 1937
58016.703, 269.9955, 59.3583221,  4.20881     ,  0.00088     , 79, 359, 1328, 297, 2063
58555.016, 269.9976, 59.3584328,  4.20877     ,  0.00085     , 94, 328, 1328, 344, 2094
58940.129, 269.9961, 59.3585472,  4.20870     ,  0.00088     , 78, 359, 1282, 281, 2000
59455.824, 270.0008, 59.3582077,  4.20860     ,  0.00088     , 31, 79, 1281, 328, 1719
59948.898, 270.0010, 59.3578682,  4.20850     ,  0.00094     , 47, 360, 1281, 234, 1922
60450.344, 270.0006, 59.3586617,  4.20843     ,  0.00094     , 31, 406, 1281, 282, 2000
60827.848, 270.0008, 59.3588867,  4.20838     ,  0.00096     , 47, 125, -58719, 235, -58312
61321.113, 269.9994, 59.3585472,  4.20827     ,  0.00095     , 63, 125, 1281, 297, 1766
61822.180, 270.0026, 59.3574142,  4.20820     ,  0.00094     , 62, 359, 1282, 265, 1968
62337.871, 270.0025, 59.3566208,  4.20812     ,  0.00090     , 63, 359, 1281, 235, 1938
62831.133, 270.0049, 59.3569603,  4.20803     ,  0.00091     , 31, 406, 1281, 203, 1921
63347.215, 270.0020, 59.3562813,  4.20793     ,  0.00088     , 63, 78, 1281, 297, 1719
64696.617, 270.0003, 59.3593102,  4.20772     ,  0.00083     , 47, 359, 1282, 203, 1891
65198.246, 269.9974, 59.3593102,  4.20768     ,  0.00096     , 62, 63, 1281, 250, 1656
66656.953, 270.0005, 59.3584061,  4.20743     ,  0.00108     , 31, 204, 1281, 219, 1735
67149.648, 270.0008, 59.3590851,  4.20736     ,  0.00094     , 78, 94, 1281, 234, 1687
67621.242, 270.0010, 59.3579521,  4.20728     ,  0.00100     , 32, 93, 1282, 281, 1688
69110.164, 270.0020, 59.3576126,  4.20704     ,  0.00093     , 62, 250, 1282, 312, 1906
69472.086, 270.0012, 59.3572731,  4.20698     ,  0.00088     , 78, 125, 1282, 265, 1750
69944.445, 270.0036, 59.3578415,  4.20695     ,  0.00084     , 31, 204, 1281, 265, 1781
70437.328, 270.0001, 59.3573875,  4.20685     ,  0.00095     , 31, 188, 1328, 250, 1797
70931.164, 270.0006, 59.3532410,  4.20679     ,  0.00095     , 32, 406, 1281, 266, 1985
71474.047, 269.9987, 59.3536949,  4.20668     ,  0.00094     , 63, 359, 1282, 359, 2063
71990.313, 270.0008, 59.3526764,  4.20661     ,  0.00086     , 62, 109, 1282, 203, 1656
72346.148, 270.0000, 59.3523369,  4.20658     ,  0.00094     , 109, 109, 1282, 312, 1812
72824.016, 270.0008, 59.3538094,  4.20652     ,  0.00087     , 31, 407, 1281, 297, 2016
73360.242, 269.9986, 59.3535805,  4.20641     ,  0.00088     , 31, 297, 1281, 188, 1797
73853.703, 270.0004, 59.3540344,  4.20634     ,  0.00085     , 125, 62, 1281, 250, 1718
74347.352, 270.0004, 59.3553925,  4.20627     ,  0.00091     , 47, 359, 1282, 281, 1969
74730.938, 270.0024, 59.3535805,  4.20623     ,  0.00094     , 47, 62, 1282, 218, 1609
75224.008, 269.9996, 59.3542595,  4.20618     ,  0.00100     , 46, 360, 1281, 313, 2000
75745.219, 270.0007, 59.3535805,  4.20608     ,  0.00098     , 31, 313, 1422, 235, 2016
76281.828, 270.0011, 59.3522224,  4.20600     ,  0.00097     , 47, 187, 1282, 328, 1844
76666.750, 270.0002, 59.3534660,  4.20596     ,  0.00092     , 125, 312, 1282, 266, 2000
77180.164, 269.9894, 59.3529015,  4.20590     ,  0.00090     , 47, 141, 1281, 265, 1734
77652.523, 269.9939, 59.3523369,  4.20581     ,  0.00094     , 31, 188, 1328, 312, 1859
78166.133, 269.9970, 59.3515434,  4.20572     ,  0.00098     , 62, 297, 1281, 250, 1890
78667.758, 270.0007, 59.3541489,  4.20567     ,  0.00090     , 31, 78, 1281, 360, 1750
79086.695, 270.0029, 59.3527870,  4.20561     ,  0.00104     , 46, 282, 1281, 234, 1843
79586.047, 270.0026, 59.3524475,  4.20555     ,  0.00096     , 31, 188, 1281, 281, 1781
80079.508, 270.0028, 59.3522224,  4.20548     ,  0.00086     , 62, 422, 1281, 266, 2031
80463.477, 270.0067, 59.3518829,  4.20544     ,  0.00100     , 94, 109, 1281, 297, 1781
80956.172, 270.0026, 59.3519974,  4.20539     ,  0.00104     , 31, 78, 1281, 328, 1718
82410.313, 270.0000, 59.3512039,  4.20516     ,  0.00098     , 63, 187, 1282, 281, 1813
82903.766, 270.0002, 59.3517685,  4.20511     ,  0.00090     , 31, 407, 1281, 265, 1984
83424.023, 269.9992, 59.3522224,  4.20502     ,  0.00095     , 31, 406, 1281, 266, 1984
83800.391, 270.0004, 59.3521080,  4.20499     ,  0.00100     , 63, 62, 1281, 328, 1750
84321.789, 270.0017, 59.3510895,  4.20493     ,  0.00080     , 62, 485, 1281, 297, 2125
84857.445, 270.0004, 59.3504105,  4.20484     ,  0.00098     , 63, 359, 1422, 250, 2110
85239.703, 270.0007, 59.3517685,  4.20480     ,  0.00090     , 78, 312, 1282, 297, 1969
85754.641, 270.0014, 59.3493996,  4.20476     ,  0.00082     , 32, 359, 1281, 281, 1953
86267.867, 269.9987, 59.3507576,  4.20468     ,  0.00088     , 31, 406, 1281, 344, 2062
86671.789, 269.9992, 59.3484917,  4.20461     ,  0.00091     , 32, 187, 1281, 282, 1782
87165.250, 270.0004, 59.3504181,  4.20456     ,  0.00112     , 31, 407, 1281, 281, 2000
87685.508, 269.9993, 59.3498535,  4.20451     ,  0.00090     , 47, 375, 1328, 359, 2109
88221.547, 270.0008, 59.3489456,  4.20443     ,  0.00090     , 31, 281, 1281, 297, 1890
88734.391, 270.0012, 59.3503036,  4.20438     ,  0.00082     , 31, 391, 1281, 250, 1953
89118.938, 270.0022, 59.3487206,  4.20434     ,  0.00099     , 94, 109, 1282, 296, 1781
